term,definition
BAPAAT,Brevet d’Aptitude Professionnelle d’Assistant Animateur Technicien
BAPSA,Budget annexe des prestations sociales agricoles
BAPU,Bureau d’aide psychologique universitaire
BARPI,Bureau d'analyse des risques et des pollutions industrielles
BAS,Bureau d’aide sociale
BASE,Brevet d’aptitude à l’animation socio-éducative
BASOL,Base de données sur les sites et sols pollués appelant une action des pouvoirs publics à titre préventif ou curatif
BASS,Branche Des Associations Sanitaires Et Sociales
BAU,Bande d'Arrêt d'Urgence
BBA,Bureau du Budget et de l'Administration
BBC,bâtiment basse consommation énergétique
BBD,Bilan Bucco-Dentaire
BCA,Bureau central d'alerte
BCAMP,Bulletin officiel d'annonces des marchés publics.
BCC,Banque centrale de compensation
BCCSMG,Brevet de Chef de Caravane de Secours en Montagne de la Gendarmerie
BCDHM,Brevet de Chef de Détachement Haute Montagne
BCE,Banque centrale européenne.
BCEAO,Banque centrale des États de l'Afrique de l'Ouest
BCMN,Bureau central de mesures nucléaires.
BCOES,Brevet de Chef d'Opération et d'Enquête de Secours
BCR,Bureau communautaire de référence.
BCRD,Budget civil de recherche et de développement technologique
BCUHM,Brevet de Chef d'Unité Haute Montagne
BD ALTI,Banque de données altimétriques numériques de l'IGN
BD CARTO,Banque de données cartographiques de l'IGN
BD TOPO,Banque de données topographiques de l'IGN
BDC,Base de Données et de Comparaison
BDD,Banque de données
BDF,Banque de France.
BDP,Banque Dupuy de Parceval.
BDPA,Bureau pour le développement de la production agricole
BDRIJ,Brigade Départementale de Renseignements et d'Investigations Judiciaires
BDSL,Base De Données Sociales Localisées
BDSP,Banque de Données en Santé Publique
BDSP,Base de Données de Sécurité Publique
BDUF,Big Design Up Front
BE,Bureau d'étude.
BEA,Bureau d'Enquêtes et d'Analyses ou Bail Emphytéotique Administratif
BEAC,Banque des États de l'Afrique centrale
BEAD-TT,Bureau Enquêtes accidents défense transport terrestre
BEAD-air,Bureau Enquêtes accidents défense air
BEAD-mer,Bureau Enquêtes accidents défense mer
BEATEP,Brevet d’État d’Animateur Technicien de l’Education Populaire et de la Jeunesse
BEE,"Bureau européen, de l'environnement."
BEES,Brevet d’État d’Educateur Sportif
BEES,Brevet d’État d'Educateur Sportif
BEGES,Bilan des Émissions de Gaz à Effet de Serre
BEH,Bulletin Epidémiologique Hebdomadaire
BEI,Banque européenne d'investissement
BEJ,Bordereau d'envoi judiciaire
BEL,Bureau Équipement et Logistique
BEM,Brevet Élémentaire Montagne
BENELUX,"Belgique, Nederland, Luxembourg."
BEOTH,Bilan d’Évaluation et d’Orientation Travailleur Handicapé
BEP,Brevet d'études professionnelles
BEPA,Brevet d'études professionnelles agricoles
BEPC,Brevet d'Etudes de Premier Cycle
BEPSS,Brevet d’études professionnelles sanitaires et social
BER,Bassin d'emploi à redynamiser
BER,Boîtier Émission-Réception
BERD,Banque européenne pour la reconstruction et le développement.
BERU,Bureau d'étude et de reconstruction et de développement.
BET,Bureau d'Etudes Techniques
BF,Banque de France.
BFCE,Banque française du commerce extérieur
BFORM,Bureau de la FORMation
BGA,Brevet de Gendarme Adjoint
BGARM,Brigade de Gendarmerie de l'ARmement
BGE,ensemBle pour aGir et Entreprendre(depuis 2010 nouveau nom du réseau des boutiques de gestion)
BGPM,Bureau de la Gestion du Personnel Militaire
BI,Brochure Investigateur
BIAF,Bordereau individuel d’accès à la formation
BIATOSS,"Bibliothécaires, ingénieurs, administratifs, techniciens, ouvriers, de service et de santé"
BIC,Bénéfices industriels et commerciaux
BID,Banque Interaméricaine de Développement
BID,Bénéfice Individuel Direct
BIFC,Bureau de l'Information Financière et Comptable
BIJ,Bureaux d’information jeunesse
BIOP,Bureau pour l'information et l'orientation professionnelle.
BIPA,Banque d'information politique et d'actualité
BIPE,Bureau d'information et de prévisions économiques
BIPM,Bureau international des poids et mesures.
BIRD,Banque internationale pour la reconstruction et le développement.
BIT,Bureau international du travail
BK,Bacille De Koch
BL2S,Bureau Logistique du soutien en service
BLAT,Bureau de la Lutte Anti-Terrorisme
BMA,Brevet des métiers d’art
BMC,Brevet Militaire de Conduite
BMN,Bulletin météorologique national.
BMO,Brigade MOtorisée
BMPM,Brigade des Marins Pompiers de Marseille
BMR,Bactéries Multi-Résistantes
BN,Bureau national.
BN,Brigade Nautique
BNCI,Banque nationale pour le commerce et l'industrie.
BNF,Bibliothèque nationale de France
BNM,Bureau national de métrologie
BNPS,Brevet national de pisteur secouriste
BNS,Brevet National Secourisme
BNSSA,Brevet national de sécurité et de sauvetage aquatique
BO,Bulletin Officiel.
BOAMP,Bulletin Officiel d’Annonces des Marchés Publics
BOCC,Bulletin Officiel de la Concurrence et de la Consommation
BOCCRF,"Bulletin Officiel de la Concurrence, de la Consommation et de la Répression des Fraudes"
BOE,Bureau Opération Emploi
BOEN,Bulletin officiel de l’Education nationale
BOI,Bulletin officiel des impôts.
BOMES,Bulletin Officiel du Ministére des affaires sociales
BOP,Budget opérationnel de programme
BOS,Brigade d'Observation et de Surveillance
BOSP,Bulletin Officiel du Service des Prix
BP,Banque populaire.
BP,Brevet professionnel
BP,Budget primitif.
BP,Brigade de Proximité
BPA,Brevet professionnel agricole
BPC,Bonnes Pratiques Cliniques
BPCE,Groupe Banque Populaire Caisses d’Épargne
BPCO,Broncho Pneumopathie Chronique Obstructive
BPCO,Bureau de la Performance et de la Cohérence Opérationnelle
BPDJ,Brigade de Prévention de la Délinquance Juvénile
BPF,Bonnes Pratiques de Fabrication
BPF,Brigade de Protection des Familles
BPI,Bibliothèque publique d'information (Centre Pompidou)
BPI,Bibliothèque publique d'information
BPIA,Base pétrolière interarmées
BPJ,Bureau de la Police Judiciaire
BPJEPS,"Brevet professionnel de la jeunesse, de l’éducation populaire et du sport"
BPL,Bonnes Pratiques de Laboratoires
BPM,Brigade de protection des mineurs
BPO,Bureau Personnel Officier
BPP,Bonnes Pratiques de Pharmacovigilange
BPPFI,Bureau de la Préparation et du Pilotage du Fonctionnement et de l'Investissement
BPPL,Bâton de Protection à Poignée Latérale
BPPPB,"Bureau de la Planification, de la Programmation et de la Préparation du Budget"
BPR,Bureau des Personnels du Rectorat
BPRM,Bureau des Personnels de la Réserve Militaire
BPS,Banque de programmes et de services (télévision)
BPS,Browning Pump Shotgun
BPSOGV,Bureau Personnel Sous-Officier de Gendarmerie et Volontaire
BPT,Bâton de Protection Télescopique
BPU,Bordereau de Prix Unitaires
BR,Brigade de Recherche
BRAM,Bulletin régional d'alerte météorologique
BRCE,"Bureau du Recrutement, des Concours et des Examens"
BRGM,Bureau de recherches géologiques et minières
BRHAG,Bureau des ressources humaines et des affaires générales
BRI,Brigade Rapide d'Intervention
BRIST,Bureau régional d'information scientifique et technique
BRPF,Bureau des Recours et de la Protection Fonctionnelle
BRQ,Bulletin de Renseignement Quotidien
BS,Bulletin de Service
BSA,Bons de souscription d'actions
BSAM,Brevet de Skieur et d'Alpinisme Militaire
BSD,Bordereau de suivi de déchets
BSIC,Bureau Système Informatique et Communication
BSL,Brigade de Surveillance du Littoral
BSM,Brevet de Skieur Militaire
BSP,Brigade de sapeurs pompiers.
BSPP,Brigade des Sapeurs Pompiers de Paris
BSPSR,Bureau Sécurité Publique Sécurité Routière
BSRFMS,Bureau Sécurité Routière Formation Moyens Spécialisés
BSS,Brevet Supérieur de Spécialiste
BT,Basse tension
BT,Brigade Territoriale
BTA,Brigade Territoriale Autonome
BTAN,Bon du Trésor à taux annuel normalisé
BTF,Bons à taux fixe
BTM,Brevet technique des métiers
BTP,Bâtiment et travaux publics
BTP,Brigade Territoriale de Proximité
BTS,Brevet de technicien supérieur
BTSA,brevet de technicien supérieur agricole
BTT,Budget temps de transport.
BUL,Bureau Unique Logement
BUMIDOM,Bureau des migrations pour les départements d'outre-mer
BUT,Bon Unique de Transport
BVO,Bureau de Veille Opérationnelle
BVP,Bureau de vérification de la publicité.
BVQI,Bureau Veritas Quality international
Bordeaux Sciences Agro,École nationale des sciences agronomiques de Bordeaux - Aquitaine
C2SD,Centre d'études en sciences sociales de la défense
CA,Chiffre d’affaire
CA,Communauté d’Agglomération
CA,Conseil d'administration.
CA,Contrat d'avenir
CA,Contrat d’Agglomération
CA,Cour d’appel
CA,Crédit agricole.
CA,Cour d’appel.
CAA,Cessation anticipée d’activité
CAA,Cour administrative d'appel.
CAA,Centre d'Audit des Armées
CAAPSAIS,Certificat d’Aptitude aux Actions Pédagogiques Spécialisées d’Adaptation et d’Intégration Scolaires
CAARUD,Centre d'accueil et d'accompagnement à la réduction des risques pour les usagers de drogues
CAC,Commissaire aux comptes.
CAC,Conseil africain de la comptabilité
CAC,Convention sur les armes chimiques (et leur destruction)
CAC,Cotation assistée en continu (CAC40)
CACES,Certificat d’aptitude à la conduite des engins en sécurité
CACIR,Centre Automatisé de Constatation des Infractions Routières
CACOM,Caisse de consolidation et de mobilisation des crédits à moyen terme
CACT,Commission d'amélioration des conditions de travail
CAD,Centre Anti-Douleur
CAD,Comité d'aide au développement.
CAD,Contrat d'agriculture durable
CADA,Centre d'accueil des demandeurs d'asile
CADA,Commission d'accès aux documents administratifs
CADES,Caisse d'amortissement de la dette sociale
CADIST,Centre d'acquisition et de diffusion de l'information scientifique et technique
CAE,Comptabilité Analytique d’Exploitation
CAE,Contrat d'accompagnement dans l'emploi
CAE,Contrat d’aide à l’emploi
CAE,Conseil d'analyse économique
CAECL,Caisse d'aide à l'équipement des collectivités locales
CAEO,Commission d’Aide a l’Evaluation et a l’Orientation
CAF,Caisse d'allocations familiales.
CAF,Chef Appui Feu
CAFA,Centre Académique de Formation Administrative
CAFAD,Certificat d’aptitude aux fonctions d’aide à domicile
CAFAMP,Certificat d’Aptitude aux Fonctions d’Aide Médico-Psychologique
CAFDES,Certificat d’aptitude aux fonctions de directeur d’établissement social
CAFERUIS,Certificat d’aptitude aux fonctions d’encadrement et de responsable d’unité d’intervention sociale
CAFETS,Certificat d’aptitude aux Fonctions d’Educateur Technique specialise
CAFME,Certificat d’aptitude aux fonctions de moniteur éducateur
CAFS,"Centre d’Accueil Familial Spécialisé (ils sont annexés à un IR, un IME..)"
CAFZ,Centre Administratif et Financier Zonal
CAFZ,Centre Administratif Financier Zonal
CAG,Code Annexe Gestion
CAHP,Centrale d’Achat de l’Hospitalisation Privée
CAJ,Centre d’Activité de Jour
CALO,Commission d'attribution des logements
CAM,Centre d'aviation météorologique
CAMAF,Comité d’aide aux migrants âgés
CAMARCA,Caisse Assurance Mutuelle Autonome de RetraitesComplémentaires Agricoles
CAMPS,Centre d’Aide Médico Psychologique
CAMS,Centres D’accueil Médico Sociaux
CAMSP,Centre d’action médicosociale précoce
CAMU,Capacité de MEdecine d’Urgence
CANAM,Caisse nationale d'assurance maladie des professions indépendantes
CANCAVA,Caisse autonome nationale de compensation de l'assurance vieillesse des artisans
CANTOU,Centre D’animation Naturelle Tirée D’occupations Utiles
CAO,Commission d'Appel d'Offres
CAO,Conception assistée par ordinateur
CAP,Certificat d'aptitude professionnelle
CAP,Commission administrative paritaire
CAP,Carnet À Points
CAP,Commission d’application des peines.
CAPA,Caisse d'amortissement pour l'acier
CAPA,Cité de l’architecture et du patrimoine
CAPASH,"Certificat d’Aptitude Professionnelle pour les Aides Spécialisées, les Enseignements Adaptés et la Scolarisation des élèves en situation de Handicap"
CAPD,Commission Administrative Paritaire Départementale
CAPE,Certificat d’Aptitude au Professorat des Ecoles
CAPEG,Certificat d'Aptitude à la Pratique Équestre en Gendarmerie
CAPEPS,Certificat d'aptitude au professorat d'éducation physique et sportive
CAPES,Certificat d'aptitude pédagogique à l'enseignement secondaire
